InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
70,Tournament,TwoPoint,20,40,0.6,0.05,0.07447547936761412,0.1415929203539823,10
50,Tournament,TwoPoint,20,40,0.7,0.05,0.03004328833306603,0.21668362156663276,8
40,Tournament,TwoPoint,20,60,0.3,0.02,0.029639358029287872,0.20713577799801783,12
60,Tournament,TwoPoint,20,40,0.7,0.02,0.044017938765609825,0.2229965156794425,8
70,Tournament,TwoPoint,20,40,0.6,0.1,0.13053315185148573,0.2660753880266075,12
50,Tournament,TwoPoint,20,40,0.7,0.1,0.08249828378858692,0.3275686673448627,10
40,Tournament,TwoPoint,20,60,0.3,0.05,0.027393967545917327,0.20713577799801783,12
60,Tournament,TwoPoint,20,40,0.7,0.05,0.061992028279572106,0.15997322623828647,10
70,Tournament,TwoPoint,20,40,0.7,0.02,0.05424109192217364,0.1544885177453027,8
50,Tournament,TwoPoint,20,60,0.3,0.02,0.01860898025520762,0.07,13
60,Tournament,TwoPoint,20,40,0.7,0.1,0.11398072713767668,0.3179384203480589,11
70,Tournament,TwoPoint,20,40,0.7,0.05,0.08347181895978156,0.21816283924843424,10
40,Tournament,TwoPoint,20,60,0.3,0.1,0.024919801048446266,0.199207135777998,15
50,Tournament,TwoPoint,20,60,0.3,0.05,0.017451287077339526,0.14038657171922686,16
70,Tournament,TwoPoint,20,40,0.7,0.1,0.13320093282442383,0.32254697286012524,12
60,Tournament,TwoPoint,20,60,0.3,0.02,0.020788787654121173,0.1986062717770035,14
40,Tournament,TwoPoint,20,60,0.4,0.02,0.028770509192491488,0.20713577799801783,12
50,Tournament,TwoPoint,20,60,0.3,0.1,0.04612568529049274,0.19837232960325535,15
70,Tournament,TwoPoint,20,60,0.3,0.02,0.01316577564945733,0.12943632567849686,13
40,Tournament,TwoPoint,20,60,0.4,0.05,0.02574908516824364,0.19821605550049554,13
60,Tournament,TwoPoint,20,60,0.3,0.05,0.0238045887675838,0.1289198606271777,15
50,Tournament,TwoPoint,20,60,0.4,0.02,0.01963100514556536,0.10071210579857579,13
70,Tournament,TwoPoint,20,60,0.3,0.05,0.03697667603471108,0.31419624217118997,16
40,Tournament,TwoPoint,20,60,0.4,0.1,0.02490182257356721,0.199207135777998,15
60,Tournament,TwoPoint,20,60,0.3,0.1,0.07295624981759216,0.3089430894308943,18
50,Tournament,TwoPoint,20,60,0.4,0.05,0.018748682255795297,0.1021377672209026,14
40,Tournament,TwoPoint,20,60,0.5,0.02,0.026718286650180924,0.05848658426288815,11
70,Tournament,TwoPoint,20,60,0.3,0.1,0.09132245548053296,0.2828810020876827,18
60,Tournament,TwoPoint,20,60,0.4,0.02,0.01698319797320278,0.09338235294117647,13
40,Tournament,TwoPoint,20,60,0.5,0.05,0.023068686969706643,0.08316673330667733,12
50,Tournament,TwoPoint,20,60,0.4,0.1,0.04743763216270581,0.2980671414038657,15
70,Tournament,TwoPoint,20,60,0.4,0.02,0.013582374327363011,0.1304801670146138,13
