MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses,AdaptiveMutationRate,ASD
12644939,12300652.1275,60,33829,310,0.019989873173987923,6405.898430258417
12644939,12315753.165,61,33829,310,0.019990350908679053,6103.553245072516
12644939,12314147.2775,62,33829,310,0.01998999863568778,6326.495761686175
12644939,12334678.06,63,33829,310,0.019990360581247403,6097.431891067389
12644939,12321629.3125,64,33829,310,0.019990297235270984,6137.5209525790215
12644939,12316094.6425,65,33829,310,0.019990161746601582,6223.2670083687935
12644939,12322850.1525,66,33829,310,0.01999057826991333,5959.66763001241
12644939,12309230.6675,67,33829,310,0.019989973997782202,6342.0886126219275
12644939,12312405.5125,68,33829,310,0.019989335028292924,6746.624640831399
12644939,12314565.6975,69,33829,310,0.019989556274532166,6606.463378165874
12644939,12334288.065,70,33829,310,0.019989356287853904,6733.037766840879
12644939,12356306.6175,71,33829,310,0.01999088416155474,5766.089190585523
12644939,12362111.01,72,33829,310,0.019991133095204477,5608.560041303926
12644939,12362304.7075,73,33829,310,0.019991046982847732,5663.18990079721
12645030,12364278.2875,74,33920,310,0.019990990311098675,5698.915601146129
12645677,12376466.285,75,34567,310,0.019991455014035577,5405.165977152089
12645677,12348641.4975,76,34567,310,0.019990724876103583,5867.2320116457695
12645677,12346344.25,77,34567,310,0.019990357468411758,6099.757851748827
12645677,12330221.32,78,34567,310,0.0199897379476684,6491.860947967357
12645677,12338501.4925,79,34567,310,0.019989756036586426,6480.411881505061
12645677,12347642.34,80,34567,310,0.019990529134942918,5991.11207182356
12645677,12358216.3925,81,34567,310,0.019989807043392226,6448.128121354167
12645677,12366701.525,82,34567,310,0.019990805120886652,5816.447642722053
12645677,12364350.5,83,34567,310,0.019990776870142505,5834.526365824095
12645677,12347972.735,84,34567,310,0.019989351886592354,6736.216540507727
12645677,12328614.905,85,34567,310,0.01998971924766598,6503.696811460839
12645677,12288828.4475,86,34567,310,0.01998868837588609,7156.204659355541
12645677,12291848.2775,87,34567,310,0.01998925718356833,6796.159828133049
12645677,12288960.1225,88,34567,310,0.019989592563753385,6583.879924168383
12645677,12284717.46,89,34567,310,0.019988979802817587,6971.734196531907
12646045,12314746.345,90,34935,310,0.019989529266808997,6624.136133925877
12646045,12291079.1625,91,34935,310,0.01998847717105053,7290.110806109488
12646045,12322242.52,92,34935,310,0.0199900438692427,6298.419273426231
